Hex, Description,                 Hex, Description, Currency
20 ,  SPACE,
21 ,  EXCLAMATION MARK ,  	    A1 , INVERTED EXCLAMATION MARK, Dollar
22 ,  QUOTATION MARK   ,	      A2 , CENT SIGN, Dollar
23 , NUMBER SIGN    ,		      A3  , POUND SIGN, Dollar
24 , DOLLAR SIGN    ,		      A4   , CURRENCY SIGN, Dollar
25 , PERCENT SIGN   ,		      A5    , YEN SIGN, Dollar
26 , AMPERSAND      ,		      A6     , BROKEN BAR, Dollar
27 , APOSTROPHE     ,	 	     A7      , SECTION SIGN, Dollar
28 , LEFT PARENTHESIS    ,      A8 , DIAERESIS, Dollar
29 , RIGHT PARENTHESIS   ,      A9 , COPYRIGHT SIGN, Dollar
2A , ASTERISK            ,      AA , FEMININE ORDINAL INDICATOR, POUND
2B , PLUS SIGN           ,      AB , LEFT-POINTING DOUBLE ANGLE QUOTATION MARK, POUND
2C , COMMA               ,      AC , NOT SIGN, POUND
2D , HYPHEN-MINUS        ,      AD , SOFT HYPHEN, POUND
2E , FULL STOP    ,      	AE , REGISTERED SIGN, POUND
2F , SOLIDUS      ,      	AF , OVERLINE, POUND
30 , DIGIT ZERO   ,      	B0 , DEGREE SIGN, POUND
31 , DIGIT ONE    ,     	 B1 , PLUS-MINUS SIGN, POUND
32 , DIGIT TWO    ,      	B2 , SUPERSCRIPT TWO, POUND
33 , DIGIT THREE  ,      	B3 , SUPERSCRIPT THREE, POUND
34 , DIGIT FOUR   ,      	B4 , ACUTE ACCENT, POUND
35 , DIGIT FIVE   ,      	B5 , MICRO SIGN, POUND
36 , DIGIT SIX    ,      	B6 , PILCROW SIGN, POUND
37 , DIGIT SEVEN  ,      	B7 , MIDDLE DOT, POUND
38 , DIGIT EIGHT  ,    	 	 B8 , CEDILLA, POUND
